         6225866 function calls (6187628 primitive calls) in 13.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   13.866   13.866 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:260(main)
        1    0.000    0.000   11.043   11.043 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:186(plot_histograms)
        1    0.000    0.000   10.462   10.462 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:482(show)
        1    0.000    0.000   10.462   10.462 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:3430(show)
        1    0.000    0.000   10.455   10.455 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:513(start_main_loop)
        1    0.000    0.000   10.455   10.455 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1483(mainloop)
        1    9.129    9.129   10.455   10.455 {method 'mainloop' of '_tkinter.tkapp' objects}
     1000    0.345    0.000    2.819    0.003 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:138(simulated_annealing)
   112000    0.319    0.000    2.071    0.000 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:106(create_possible_state)
  699/685    0.003    0.000    1.326    0.002 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1943(__call__)
   265882    0.266    0.000    0.692    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\random.py:367(choice)
        4    0.000    0.000    0.638    0.159 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:859(callit)
      669    0.004    0.000    0.619    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:296(motion_notify_event)
        2    0.000    0.000    0.614    0.307 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:272(idle_draw)
